true_class_idx,predicted_class_idx,count
93,77,33
50,77,32
93,37,31
99,4,30
0,8,28
37,93,27
21,22,25
53,80,23
46,49,21
48,5,21
9,56,19
22,21,19
47,89,19
60,24,19
77,37,19
