0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
72,1,15,0,0,0,7,0,19,2,0,0,7,0,3,0,0,3,0,2,3,2,2,1,0,0,1,1,2,0,0,3,0,0,0,0,0,1,1,1,1,5,8,3,0,0,1,1,0,7,4,1,4,0,0,1,0,2,6,3,0,1,2,0,0,0,2,1,0,1,0,0,5,1,3,0,4,0,2,0,2,0,0,0,0,2,1,1,0,1,1,0,0,1,7,0,0,0,2,1,13
1,157,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,1,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,4,0,2,0,0,1,0,0,4,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,9,2,5,4,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,0,1,0,0,1
6,0,174,0,0,0,5,0,2,1,1,0,3,1,1,0,1,2,0,0,3,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,4,0,0,4,1,0,0,2,0,1,1,1,2,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,3,1,2,0,1,0,0,0,1,1,0,0,0,1,0,3
0,0,1,155,7,6,0,0,1,0,4,6,0,12,0,0,1,2,1,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,1,4,0,0,0,0,1,0,0,3,2,1,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,4,1,0,0,0,1,2,0,0,0,3,2,1,1,0,0,0,0,0,0,2,1,0,3,1
1,0,0,3,118,8,0,2,0,0,3,1,0,0,1,0,6,1,0,0,0,1,0,0,0,2,9,0,0,0,1,0,0,0,2,2,3,3,3,4,0,0,5,0,1,0,0,2,1,0,3,2,2,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,2,0,0,1,2,0,3,0,0,1,1,2,0,1,2,0,1,1,0,0,1,2,1,3,0,0,27,0
0,2,0,13,2,122,0,2,1,0,0,6,1,17,1,2,2,0,0,1,0,0,0,0,0,0,1,0,2,1,2,0,0,0,2,0,2,2,0,4,0,0,1,0,0,1,0,0,12,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,4,1,1,0,3,0,1,0,0,0,0,0,0,4,7,2,0,0,0,0,2,1,1,1,1,1,6,1
0,0,2,0,0,0,210,0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,5,7,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
12,2,2,0,0,0,4,2,104,0,1,1,2,0,2,1,0,3,1,2,2,1,1,0,0,0,2,3,3,2,0,1,1,0,2,0,0,1,1,4,0,8,6,0,0,2,0,0,0,4,0,0,3,0,0,1,1,1,3,3,0,0,4,0,0,1,0,1,1,0,0,1,1,6,5,0,0,6,0,0,3,0,0,1,1,0,0,2,0,2,0,1,0,1,6,0,0,0,7,1,4
2,0,0,0,0,0,1,0,1,130,6,2,1,1,0,0,3,0,0,12,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,5,0,1,0,1,0,1,0,1,0,3,0,0,2,1,0,2,0,0,2,12,0,2,4,0,2,1,0,0,0,3,6,1,0,1,2,1,0,1,0,0,2,2,1,7,1,1,0,0,2,0,0,0,0,0,0,3,2,1,1,7,0,0,0,0
1,0,0,5,0,4,0,0,0,2,112,2,1,10,0,6,4,1,3,2,1,0,0,1,0,1,3,0,0,0,4,0,0,0,2,1,1,1,0,2,1,1,2,2,0,0,3,2,6,0,5,0,1,0,0,0,4,1,0,1,0,5,1,0,0,0,5,1,0,0,0,2,2,0,0,0,0,4,2,0,1,0,2,0,0,0,0,4,0,3,0,0,1,1,2,3,5,2,0,4,1
0,0,0,0,0,1,0,1,0,0,0,186,0,2,0,5,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,3,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,0,0,0,1,3,3,1,0,1,0
1,1,2,0,1,0,9,1,3,3,0,0,163,6,0,1,1,0,0,1,0,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,2,0,0,3,0,0,1,2,0,0,0,1,1,3,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,3,6,1,5
0,0,1,4,0,3,0,1,1,1,7,2,0,164,1,2,0,1,1,0,0,0,1,0,0,0,2,0,1,0,8,1,0,1,2,0,2,1,0,3,0,0,0,1,0,0,0,0,7,1,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,6,0,1,0,0,1,0,2,1,0,1,0,1,1
2,2,3,0,2,0,1,1,2,0,0,0,5,0,155,0,0,7,0,0,0,4,3,1,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,1,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,1,0,1,0,1,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,4,1,0,1,16,0,1
0,0,0,0,1,6,0,0,1,1,4,9,0,2,0,105,0,0,1,0,1,0,1,0,1,2,1,0,0,0,5,0,1,0,3,0,0,0,1,1,0,0,0,2,1,0,0,5,12,1,1,5,1,0,0,1,1,0,3,1,1,3,1,1,0,0,5,2,0,0,2,3,0,1,0,3,0,2,3,0,0,2,1,0,4,1,0,1,0,4,0,1,0,2,1,3,13,0,1,7,1
1,4,0,0,1,3,1,0,1,0,1,0,3,2,1,0,182,3,0,1,0,2,2,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,3,1,0,1,1,0,3,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,2,0,1,0,0,0,1,0,2,3,0,2,0,1,2
4,1,2,0,0,1,3,0,3,0,0,0,1,0,13,0,9,105,0,0,0,8,5,1,1,0,1,4,0,6,1,2,0,0,1,0,1,0,0,3,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,2,1,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,2,10,0,0,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,25,0,1,1,7,0,2
1,2,2,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,126,1,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,7,0,1,4,0,0,1,2,0,0,6,0,4,5,1,5,3,0,1,0,0,0,4,1,0,0,0,5,0,0,2,4,0,1,1,0,1,7,10,0,6,1,0,0,0,5,0,0,0,1,0,1,2,0,0,0,0
0,1,0,1,0,0,1,0,0,9,2,0,0,1,0,4,2,0,0,163,1,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,0,2,0,1,4,0,0,1,2,6,0,4,0,2,0,0,0,0,7,5,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,195,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,2,0,2,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,2,0,0,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,4,0,13,0,1,8,0,0,0,142,8,3,0,0,0,0,0,2,0,1,0,0,0,0,3,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,1,0,1,0,0,0,1,0,0,10,0,0,0,0,1,0,1,0,0,2,1,1,0,0,17,1,0
0,1,1,0,0,0,2,0,5,0,0,0,3,0,3,1,2,6,1,0,0,21,95,2,0,0,1,4,1,4,0,1,2,0,0,0,2,2,0,6,0,2,2,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,5,0,5,0,1,1,1,1,0,0,0,0,1,2,3,21,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,4,0,0,0,13,2,2
0,2,0,0,0,0,5,0,1,0,1,0,0,0,2,0,2,0,1,0,1,2,0,204,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,204,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,16,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,187,1,0,2,0,0,0,0,0,0,0,2,0,2,1,7,0,0,1,0,0,1,0,2,18,1,0,1,3,0,2,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
0,1,1,1,5,2,0,1,1,0,5,4,0,1,1,2,0,0,0,0,0,0,1,0,0,0,122,1,3,0,2,1,0,0,1,1,4,5,5,0,0,1,0,2,2,0,0,3,2,3,7,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,8,0,0,1,0,1,0,5,2,0,14,1,0,0,1,0,0,0,2,3,2,0,3,2
0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,1,1,0,0,0,203,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,1,0,1,0,0,0,2,0,1
1,0,2,0,0,0,0,3,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,185,0,1,0,0,0,9,0,0,1,4,3,0,2,1,0,0,0,2,0,0,7,2,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,214,3,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0
